uuid,nature_zone,noise,road_traffic,price_value,internal_structure,public_transportation,educational_facilities,complex_environment,parking_facilities,medical_facilities,urban_park,commercial_facilities,road_traffic_rating,price_value_rating,nature_zone_rating,commercial_facilities_rating,internal_structure_rating,parking_facilities_rating,public_transportation_rating,noise_rating,urban_park_rating,educational_facilities_rating,complex_environment_rating,medical_facilities_rating
apartment_1165011101,,"['주변이 조용해서 좋음.', '소음이 크게 신경 쓰이지 않음.']",,,,"['버스 정류장 가깝움.', '지하철역 도보 가능.', '신분당선 접근 용이.']",,,,,,,0,0,0,0,0,0,6,2,0,0,0,0
apartment_1165011102,,"['주변 소음이 적어 좋음.', '주말에도 조용한 편임.', '소음 걱정 없어 서 안심.']",,['가격 대비 만족스러움.'],,,,,,"['의료 시설이 잘 갖춰짐.', '어린이 병원이 가까움.']",,,4,3,0,3,0,0,3,3,0,0,5,2
apartment_1165011104,,"['소음이 적어 편안함.', '호텔 소음 걱정 없음.', '주변이 조용해서 좋음.']",,,,['강남까지 15분 소요.'],"['미래 인프라 기대됨.', '도서관이 들어올 예정.', '중학교가 건립 중임.']",,,,"['주변에 공원이 있음.', '자연과 가까운 느낌.', '산책하기 좋은 위치.', '조용한 환경이 매력적.', '자전거 타기 편리함.']","['미래 인프라 기대됨.', '강남까지 15분 거리.']",0,0,0,3,0,0,3,3,5,3,0,0
apartment_1165011103,,"['소음이 적어 편안함.', '주변이 조용해서 좋음.']",,,,"['신분당선 이용 가능.', '강남과 가까운 위치.', '여의도 접근성 향상.', '직장 접근성이 우수.', '주변 교통망이 좋음.']","['내곡중이 곧 개교함.', '아이들 학교 걱정 없음.']","['편리한 교통망 제공.', '청계산과 인릉산 인근.', '주거 환경이 만족스러움.', '직장 접근성이 뛰어남.']",,,,,0,0,0,0,0,0,7,2,0,4,7,0
apartment_1165011105,,"['산이 있어 소음 차단.', '평화로운 생활 가능.', '소음이 적어 편안함.']","['도심 접근성 뛰어남.', '강남 접근성이 우수.', '고속도로 접근 용이.']",,,"['도심 접근성 뛰어남.', '강남 접근성이 우수함.', '대중교통이 매우 편리함.']",,,,,['산책하기 좋은 장소.'],,4,0,0,0,0,0,4,5,6,0,0,0
apartment_1165010725,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
apartment_1165010726,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
apartment_1165010705,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
apartment_1165010709,,,,,,"['도보로 이동 가능함.', '지하철 9호선 가까움.']",,"['백화점이 인근에 있음.', '종합운동장과 가까움.', '대학병원도 근처에 있음.', '커뮤니티 센터가 활성화됨.', '대형 도서관이 편리함.', '한강이 도보 거리임.', '입지가 매우 우수함.', '조경 관리가 잘 되어있음.']",,,,"['반포 종합운동장 근처.', '대학병원 도보 가능.', '대형 도서관 이용 편리.', '지하철 9호선 가까움.', '한강과 가까워 좋음.', '입지가 매우 뛰어남.']",0,0,0,7,0,0,3,0,0,0,9,0
apartment_1165010706,,"['조용한 환경이 좋음.', '소음 문제 전혀 없음.', '이웃 소음 걱정 없음.', '내부 소음 차단 우수.']",,,,,,,,,,,0,0,0,0,0,0,0,5,0,0,7,0
apartment_1165010714,,['소음이 거의 없음. 주변이 조용해서 좋음.'],,,,"['도보로 이동 가능함.', '고속터미널 접근 용이.', '반포역도 이용 가능.']","['서초구립도서관 인접.', '안전한 통학로 제공.', '교육 인프라가 잘 갖춰짐.', '학습 환경이 우수함.', '초중고 도보 5분 거리.']",,,,,"['다양한 시설이 근처에 있음.', '9호선 사평역 2분 거리.', '학원가가 바로 옆에 있음.', '7호선과 3호선도 이용 가능.', '교통이 매우 편리함.', '학교와 가까워 좋음.']",0,0,0,6,0,0,6,1,0,7,0,0
apartment_1165010717,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
apartment_1165010718,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
apartment_1165010724,,['주변이 조용해서 좋음.'],,,,['이동이 매우 수월함.'],,,,,,,0,0,0,0,0,0,9,2,0,0,0,0
apartment_1165010713,,,,,,,,"['주변 소음이 적어 조용함.', '산책하기 좋은 길이 많음.', '주거지와 가까운 공원이 있음.', '주변 경관이 아름다움.', '주차 공간이 넉넉함.', '단지 내 조경이 잘 되어 있음.', '안전한 주거 환경 제공.', '주민 커뮤니티가 활성화됨.']",,,,"['상가가 없어 불편함.', '단지 내 휴식공간 부족.']",0,0,0,3,0,0,0,0,0,0,8,0
apartment_1165010710,,['주변이 조용해서 좋음.'],,,,,"['교육시설 접근성이 좋음.', '학교가 단지 내에 있음.', '전반적으로 만족도가 높음.', '학부모들 사이에서 인기 있음.', '아이들 통학이 편리함.', '교육환경이 만족스러움.']","['주민 간의 소통이 활발함.', '커뮤니티 시설이 우수함.', '학교가 단지 내에 있음.', '주변 편의시설 다양함.', '주거지 접근성이 좋음.', '자연 경관이 아름다움.', '주변 환경이 안전함.', '조용한 주거 분위기.', '1층은 차량 통행 없음.']","['주차공간이 넓어서 좋음.', '주차가 불편하지 않음.', '주차가 편리하게 가능함.', '주차장이 항상 여유있음.', '주차가 용이해서 좋음.', '주차시설이 잘 관리됨.']",,,"['커뮤니티 시설이 우수함.', '학교가 단지 내에 있음.', '주변 편의시설이 다양함.', '시설 관리가 잘 이루어짐.']",0,0,0,5,0,10,0,3,0,6,10,0
apartment_1165010703,,['소음이 적어 편안함.'],"['주차 공간이 충분함.', '차량 이동이 용이함.', '버스정류장이 가까움.', '지하철역도 인근에 있음.', '교통이 매우 편리함.', '자전거 도로도 잘 마련됨.']",,,['교통이 원활하여 좋음.'],,,,,,,7,0,0,0,0,0,3,1,0,0,5,0
apartment_1165010701,,,,,,"['주변에 정류장이 많음.', '고속터미널 이용 용이.', '교통 접근성이 좋음.']",,"['주차 공간이 넉넉함.', '주변 상업시설 풍부.', '주변 교통이 편리함.', '학군이 우수하여 좋음.']",,,,"['주변에 다양한 시설.', '생활 편의성이 높음.']",0,0,0,7,0,0,4,0,0,1,8,0
apartment_1165010707,,,,,,,['교육시설 접근성 우수.'],,,,"['입지가 매우 우수함.', '한강에 쉽게 접근 가능.']","['지하철이 인근에 있음.', '주변 편의시설 풍부.', '백화점이 도보 가능.', '서래마을 외식 편리.', '입지가 매우 우수함.', '교통이 매우 편리함.']",0,0,0,6,0,0,2,0,3,2,0,0
apartment_1165010712,,,"['지하철 3, 7, 9호선 이용 가능.', '경부고속도로 접근 용이함.', '대중교통 이용이 용이함.', '교통이 매우 편리함.', '주차 공간도 넉넉함.']",,,"['9호선도 이용 가능함.', '경부고속도로 접근 용이.', '3호선과 7호선 가까움.', '교통이 최적화되어 있음.']",,"['주변 경관이 아름다움.', '주차 공간이 넉넉함.', '관리 상태가 우수함.', '안전한 주거 환경임.', '주변 상업시설이 풍부함.', '교통이 매우 편리함.', '단지가 조용하고 쾌적함.', '다양한 대중교통 이용 가능.']",,,,"['주차 공간이 넉넉함.', '장보기 매우 용이함.', '다양한 상점이 근처에 있음.', '주변 시설이 잘 갖춰짐.']",5,0,0,4,0,0,5,1,0,0,8,0
apartment_1165010720,,"['소음 걱정 없어서 좋음.', '단지가 조용한 편임.']",,,,"['대중교통 이용 편리함.', '버스정류장도 가까움.', '고속터미널 역 근처.']",,,"['주차 공간이 협소함.', '주차시설 개선 필요함.', '주차 환경이 좋지 않음.', '주차 편의성이 떨어짐.', '주차 문제로 불만 많음.', '주차 공간이 아쉬움.']",,,"['서래마을 접근 용이.', '주변 교통이 편리함.', '장보기 장소 다양함.', '병원 등 편의시설 좋음.', '고속터미널 역 근처.']",0,0,0,7,0,9,5,4,0,0,0,0
apartment_1165010711,,,,,,"['교통 접근성이 뛰어남.', '이동이 간편해서 좋음.', '대중교통 이용이 편리함.', '주변 버스정류장 있음.', '주변 교통이 원활함.']",,"['한강 산책하기 좋음.', '주변 상업시설 풍부함.', '주차 공간이 넉넉함.', '자연과 가까워 좋음.', '주변 환경이 쾌적함.', '교통이 편리하여 좋음.']",,,"['한강 산책하기 좋음.', '자연 경관이 아름다움.']",,0,0,0,0,0,0,9,6,3,0,10,0
apartment_1165010716,,['주변이 매우 조용함.'],"['고터도 가까워 좋음.', '강남 이동이 편리함.', '마을버스 접근 용이.']",,,['강남으로 이동 용이.'],['마을버스 이용 용이.'],"['공원이 가까워 좋음.', '교통이 매우 편리함.', '마을버스 접근 용이함.', '교대역 도보 가능함.']","['주차 공간이 넉넉함.', '주차하기 매우 용이.', '지하주차장이 편리함.']",,,,4,0,0,0,0,4,4,1,2,6,6,0
apartment_1165010721,,,,"['가격이 많이 올랐음.', '올수리 상태가 우수.', '가격 대비 만족도가 높음.', '서래마을 위치가 좋음.']",,,,,,,,,0,8,0,0,0,0,0,0,0,0,0,0
apartment_1165010719,,,,,,"['대중교통이 잘 연결됨.', '이동이 수월해서 좋음.', '편리한 교통환경 만족.', '대중교통 이용이 편리함.', '고속버스터미널역과 가까움.']",,"['공원과 녹지가 많음.', '주차 공간이 넉넉함.', '주요 편의시설 가까움.', '안전한 주거 환경임.', '교통이 매우 편리함.', '주변이 조용하고 평화로움.', '생활 편의성이 높음.', '서래마을 도보 가능.']",,,,"['주요 편의시설 가까움.', '식당 선택 폭 넓음.']",0,0,0,5,0,0,8,0,0,0,9,0
apartment_1165010108,,,,['가격 대비 만족스러움.'],,"['대중교통 이용 만족.', '지하철 접근성이 좋음.', '주변 교통시설 양호.', '대중교통 이용 편리.', '대중교통 이용자 많음.']",,"['주차 공간이 넉넉함.', '자연 경관이 아름다움.', '주변 교통이 편리함.', '관리가 잘 되고 있음.', '주거 환경이 조용함.']",,,,,0,5,0,0,0,0,10,0,0,0,8,0
apartment_1165010126,,['소음이 적어 편안함.'],,,,,,,,,"['주변에 공원이 많음.', '자연과 가까운 위치.', '산책하기 좋은 곳임.', '주변이 조용하고 평화로움.']",,0,0,0,0,0,0,0,2,4,0,0,0
apartment_1165010131,,,,,,"['역까지 가까워 좋음.', '마을버스 이용 가능.']",,"['안전한 경비 서비스.', '매너주차가 잘 이루어짐.', '주변 환경이 조용함.', '주변 자연이 아름다움.', '단지 내 시설이 좋음.', '정원이 항상 잘 관리됨.']","['주차하기에 여유가 있음.', '주차가 용이한 위치임.', '주차시설이 만족스러움.', '주차가 편리해서 좋음.', '주차시설이 잘 관리됨.', '주차가 편리하게 이루어짐.', '주차 스트레스가 없음.']",,,,0,0,0,0,0,10,3,1,0,0,7,0
apartment_1165010140,,"['소음 차단이 우수함.', '주변 소음 걱정 없음.', '주택가라 소음 없음.', '소음이 적어 편안함.', '조용한 동네 분위기.', '주변이 조용해서 좋음.']","['주변 도로 상태 양호.', '교통이 편리하게 연결됨.', '대중교통 이용이 용이함.', '방배역 접근성이 좋음.', '500미터 이내에 위치.', '주차 공간도 넉넉함.']",,,"['지하철 접근성 우수.', '대중교통 이용 편리.', '주변 교통이 원활함.', '500미터 이내 위치.', '편리한 대중교통 환경.', '이동이 매우 용이함.']",,,,,,,9,0,0,0,0,0,8,6,0,0,0,0
apartment_1165010130,"['주거 환경이 쾌적함.', '자연지구 분위기 좋음.']",,,,,"['지하철 노선 다양함.', '이동이 편리한 지역.']",,"['지하철 노선 다양함.', '주변 먹거리가 풍부함.', '산책하기 좋은 곳임.', '주변 환경이 쾌적함.']",,,,"['지하철 접근성이 뛰어남.', '편의시설이 잘 갖춰짐.', '먹거리와 카페 많음.']",0,0,2,6,0,0,7,7,0,0,8,0
apartment_1165010114,"['고층에서 한강 조망 가능.', '4 베이 구조가 좋음.']",,,"['중고등학군이 우수함.', '고층에서 한강 조망 가능.', '주거 환경이 쾌적함.', '학교 통학이 용이함.', '4 베이 구조가 좋음.', '장점에 비해 저평가됨.']","['주거 환경이 쾌적함.', '4 베이 구조가 좋음.']","['대중교통 이용 용이.', '버스로 지하철 접근.', '마을버스 이용 가능.']","['주변 교육시설 좋음.', '아이들 성장에 도움.']","['경비가 친절하고 관리 좋음.', '단지가 소규모로 아늑함.', '서래초등학교 통학 가능.', '이웃 주민들이 점잖음.', '4 베이 구조가 좋음.', '중고등학군이 우수함.']",,,,,0,8,5,0,4,0,10,3,0,9,8,0
apartment_1165010113,,,,,,"['시내버스도 자주 다님.', '이동이 수월해서 좋음.', '교통이 편리해 좋음.', '버스 노선이 다양함.', '대중교통 이용이 용이함.', '교통이 최대 장점임.', '대중교통이 매우 편리함.', '어디든 금방 이동 가능.']",,"['주거 환경이 쾌적함.', '버스 노선이 다양함.', '지하철 입구가 가까움.', '교통이 매우 편리함.']",,,,"['홈플러스가 바로 있음.', '주변 상업시설 풍부함.', '주거지와 가까운 상점들.', '생활 편의성이 높음.']",0,0,0,4,0,0,9,0,0,0,4,0
apartment_1165010102,"['계절 변화가 아름다움.', '연말 불꽃놀이 관람 가능.', '음악분수도 즐길 수 있음.', '산책하기 좋은 위치.', '우면산 뷰가 압권임.']","['음악분수 소음 없음.', '평화로운 환경 제공.']",,,"['4베이 평면이 좋음.', '관리 상태가 우수함.']","['걸어서 지하철 접근.', '마을버스 이용 가능.']",,"['계절 변화가 아름다움.', '산책하기 좋은 환경.', '음악분수 즐길 수 있음.', '우면산 뷰가 압권임.', '불꽃놀이 보기 좋음.']",,,,,0,0,5,0,2,0,4,4,0,0,6,0
apartment_1165010117,,,,,,"['전반적으로 만족스러운 위치.', '마을버스로 7호선 이용 가능.', '641, 461번 버스 운행.', '대중교통 이용이 편리함.', '대중교통으로 이동이 수월함.', '2호선과 4호선 인접함.', '통학과 직장 이동 용이.', '방배역과 사당역 가까움.']",,,,,,,0,0,0,0,0,0,8,2,0,0,0,0
apartment_1165010128,,['주변 환경이 조용함.'],,,"['구조가 매우 훌륭함.', '내부 마감이 괜찮음.']",,,"['주변 환경이 조용함.', '자연과의 조화가 좋음.', '주차 공간이 넉넉함.', '안전한 주거 환경임.', '산책길이 잘 조성됨.', '주변에 편의시설 많음.']",,,,,0,0,0,0,4,0,0,1,0,0,6,0
apartment_1165010116,,,"['교통 혼잡하지 않음.', '지하철역 인근 위치.', '대중교통 이용 용이.', '교통이 매우 편리함.', '이동이 편리한 지역.']",,"['아파트 자체는 괜찮음.', '전반적으로 만족스러움.']","['대중교통 이용이 쉬움.', '이동이 용이해서 좋음.', '지하철역도 인근에 있음.', '대중교통 접근성이 좋음.', '주변 교통이 원활함.', '버스 정류장이 가까움.', '교통이 매우 편리함.', '다양한 노선이 있어 좋음.']",,"['주변 환경이 조용함.', '주거지 접근성이 좋음.', '안전한 주거 환경임.', '자연 경관이 아름다움.', '주차장이 넓어서 좋음.', '교통이 매우 편리함.']",,,,,10,0,0,0,6,0,10,0,0,0,6,0
apartment_1165010120,,"['소음이 적어 편안함.', '전체적으로 조용한 환경.', '주변이 조용해서 좋음.']",,,,"['출퇴근 편리한 편임.', '버스정류장이 가까움.', '고속터미널 접근 용이.', '9호선 구반포역도 가까움.', '4호선 이수역 이용 가능.']",,,,,,"['지하철 접근성이 좋음.', '버스정류장이 가까움.', '메가박스 이용 용이.', '고속터미널과 가까움.', '외식하기 좋은 위치.']",0,0,0,6,0,0,6,3,0,0,0,0
apartment_1165010129,,['도로와 가까움에도 조용.'],,,,"['편리한 위치에 있음.', '교통이 원활해서 좋음.', '시간 절약할 수 있음.', '대중교통 이용 쉬움.', '이동이 매우 편리함.', '주변 도로 접근성 좋음.']",,"['공원도 근처에 있음.', '생활 편의시설 많음.']",,,,,0,0,0,3,0,0,10,3,0,0,10,0
apartment_1165010136,,,,,,"['고속터미널 접근 용이.', '다양한 노선 이용 가능.', '이동이 매우 편리함.']","['주변 학군이 우수함.', '교육시설이 만족스러움.']",,,,,"['버스정류장이 가까움.', '가로수길 접근 용이.', '고속터미널과 가까움.', '교통이 매우 편리함.', '다양한 노선 이용 가능.', '주변 편의시설 좋음.']",0,0,0,7,0,0,7,0,0,2,0,0
apartment_1165010105,,"['소음이 적어 집중 가능.', '주변 소음이 거의 없음.', '소음 걱정 없이 생활 가능.', '소음이 적어 편안함.', '주변이 조용해서 좋음.']","['대중교통 이용 편리함.', '교통이 좋아서 만족.', '이동이 편리한 위치.', '버스 노선이 다양함.', '통행이 원활해서 좋음.']",,,"['편리한 위치에 있음.', '교통 혼잡하지 않음.', '주변 교통시설 우수.', '대중교통 접근성 좋음.']",,"['교통이 좋아서 편리함.', '주변 환경이 괜찮음.', '생활 편의시설 근처.']",,,,,9,0,0,0,0,0,9,5,0,0,3,0
apartment_1165010134,,['소음이 적어 편안함. 주변이 조용해서 좋음.'],,,,"['대중교통이 가까워 좋음.', '지하철 접근성이 좋음.', '2, 7호선 이용 편리.']",,"['단지가 조용해서 좋음.', '공기가 맑아서 좋음.', '산책하기 좋은 환경.']",,,,"['주변에 편의시설 많음.', '카페와 맛집 다양함.', '필요한 것들이 가까움.']",0,0,0,4,0,0,3,1,0,0,3,0
apartment_1165010115,,,"['고속버스터미널 인근.', 'KTX 접근성이 좋음.', '법원과 강남역 편리.']",,,"['교통망이 잘 구축됨.', '대중교통 이용이 편리.', '법원, 강남역 접근 용이.', '이동이 매우 수월함.', '4, 7호선 이용 편리.', 'KTX 접근성 좋음.', '고속버스터미널 인근.', '주변 교통이 우수함.']","['학생들 교육에 적합.', '학군이 매우 우수함.', '교육시설 접근 용이.', '서래초교 인근에 있음.']",,,,,"['맛집과 카페가 많음.', 'KTX 접근성이 뛰어남.', '쇼핑시설이 다양하게 있음.', '교통이 매우 편리함.', '재래시장도 가까워 좋음.', '법원과 강남역 접근 용이.']",6,0,0,6,0,0,10,0,0,8,0,0
apartment_1165010119,,,,,"['모던한 느낌이 필요함.', '주거 환경 개선 기대됨.', '내부 구조가 기대됨.']",,,,,,,,0,0,0,0,3,0,0,0,0,0,0,0
apartment_1165010135,,,,,,,"['주거지와 가까운 학교.', '아이 교육에 최적임.', '학교와 가까워 편리함.', '안전한 통학로가 있음.', '다양한 학원 선택 가능.', '주변 교육시설이 우수함.']","['재활용 쓰레기 처리 용이.', '생활 편의성이 뛰어남.', '지하철 도보 2분 거리.', '1층에 시장이 위치함.', '우체국이 건물 내에 있음.']",,,,"['생활 편의성이 뛰어남.', '1층에 시장이 위치함.', '우체국이 건물 내에 있음.', '주민센터가 인근에 있음.']",0,0,0,6,0,0,2,0,0,8,8,0
apartment_1165010138,,,"['주차 공간 여유있음.', '대중교통 이용 용이.']",,,"['대중교통 이용 추천.', '교통이 편리한 지역.', '대중교통 이용 편리함.', '이동이 수월해서 좋음.', '지하철 접근성 우수함.', '주변 교통 환경 좋음.']",,"['조경이 잘 되어 있음.', '주거 환경이 쾌적함.']",,,,,6,5,0,0,0,0,10,2,0,0,4,0
apartment_1165010112,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
apartment_1165010132,,,,,,"['교통망이 잘 구축됨.', '대중교통 이용 용이.', '교통 접근성이 좋음.']","['아이들 교육에 최적임.', '서리풀숲도서관이 좋음.']",,['주차 편의성이 좋음.'],,,"['서리풀숲도서관 개관.', '내방역 종상향 기대.']",0,0,0,8,0,10,6,0,0,5,0,0
apartment_1165010109,,['아파트 단지가 조용함.'],,,,"['대중교통 이용 만족.', '교통이 좋아 이사 고민.', '버스정류장 1분 거리.', '평지라 이동이 편함.', '서울 시내 접근 용이.', '대중교통이 매우 편리함.']",,,"['주차 공간이 항상 여유있음.', '주차장이 넉넉해서 좋음.', '주차하기 쉬운 구조임.', '주차 공간이 안전함.', '지하주차장 이용 편리함.', '주차장 위치가 좋음.', '주차시설 관리가 잘됨.', '주차 스트레스가 없음.', '주차 편의성이 뛰어남.']",,,,0,0,0,0,0,9,7,2,0,0,0,0
apartment_1165010110,,"['조용한 분위기가 좋음.', '주변이 깨끗하고 조용함.']",,,,"['사당역도 쉽게 접근 가능.', '대중교통 접근성 우수.', '공항버스도 근처에 있음.', '4, 7호선 가까움.', '교통편이 매우 편리함.', '이동이 매우 수월함.', '버스 이용하기 좋음.']",,"['버스 이용이 용이함.', '4,7호선과 가까움.', '공항버스도 근처에 있음.', '교통편이 매우 편리함.', '주변 환경이 쾌적함.', '동작역과 사당역도 가까움.', '안전한 주거 환경을 제공함.']",,,,,0,0,0,0,0,0,8,2,0,0,7,0
apartment_1165010111,,,,,,,"['셔틀 운행 학원 많음.', '학교 앞 픽업 서비스.', '학원가 선택 폭 넓음.', '서래초 배정이 좋음.', '교육 시설 접근 용이.', '학생들 만족도 높음.']",,,,,,0,0,0,0,0,0,0,0,0,8,0,0
apartment_1165010133,,['주변이 조용해서 좋음.'],,,,"['차로 이동도 용이함.', '주거 환경이 쾌적함.', '접근성이 뛰어난 위치.']","['안전한 통학로 있음.', '초등학교 통학 가능.']",,,,['공원이 가까워 좋음.'],"['생활 편의시설 풍부.', '신세계 백화점 가까움.', '접근성이 매우 우수함.', '유기농 가게도 근처.', '걸어서 마트 이용 가능.']",0,0,0,7,0,0,5,1,1,2,0,0
apartment_1165010123,,,,,,,"['가족 단위 거주에 적합.', '입지가 아주 우수함.']",,,,,"['병원도 근처에 위치.', '백화점이 가까워 편리.', '입지가 아주 우수함.', '주변에 상업시설 많음.']",0,0,0,4,0,0,0,0,0,4,0,0
apartment_1165010122,,,,,,,"['다양한 프로그램 운영.', '교육비용 대비 효과적.', '위치와 학군이 최상.', '학부모 만족도가 높음.']","['관리가 잘 이루어짐.', '안전한 단지 분위기.', '주변 환경이 쾌적함.', '다양한 편의시설 있음.']",,,,,0,0,0,0,0,0,0,0,0,8,7,0
apartment_1165010121,,,,,"['주차 공간이 넉넉함.', '방들이 넓어서 좋음.']","['주변 이동이 용이함.', '대중교통 이용 편리함.', '서울 어디든 편리함.', '대중교통 접근성이 좋음.', '교통이 매우 편리함.']",,,"['주차가 잘 되어 있음.', '주차가 불편하지 않음.', '주차 공간이 충분함.']",,,,0,0,0,0,3,10,9,0,0,0,0,0
apartment_1165010118,,['소음이 적어 쾌적함. 주변이 평화로움.'],,,,,"['교육적으로 거주하기 좋음.', '교육시설 접근성 좋음.', '아이 키우기 좋은 곳.']","['품격 있는 환경이 좋음.', '주변이 안전하고 평화로움.', '자연과 가까운 느낌.', '작은 숲이 있어 좋음.', '공원과 산책로가 많음.', '주민들이 친절하고 따뜻함.', '동네가 조용하고 깨끗함.']",,,,"['주변이 조용하고 깨끗함.', '전체적으로 만족스러움.']",0,0,0,4,0,0,0,1,0,3,7,0
apartment_1165010107,,,,"['역과 가까워 편리함.', '가성비가 뛰어난 선택.', '주변 시설이 잘 갖춰짐.', '가격 상승 가능성 있음.']",,['대중교통 접근성 우수.'],,['주변 편의시설 많음.'],,,,"['상가와 함께 이용 가능.', '먹자골목이 인근에 있음.', '역에서 가까워 편리함.', '생활 편의시설 풍부함.', '주변이 활기차고 좋음.']",0,4,0,5,0,0,10,3,0,0,7,0
